Region_Code,W_REGN_N,Province_Code,W_PROV_N,FOOD_2021,NFOOD_2021,TOTEX_2021,BREAD_2021,MEAT_2021,FISH_2021,MILK_2021,OIL_2021,FRUIT_2021,VEG_2021,SUGAR_2021,FOOD_NEC_2021,COFFEE_2021,MINERAL_2021,FOOD_OUTSIDE_2021,ALCOHOL_2021,TOBACCO_2021,OTHER_VEG_2021,CLOTH_2021,FURNISHING_2021,HEALTH_2021,HOUSING_WATER_2021,TRANSPORT_2021,COMMUNICATION_2021,RECREATION_2021,EDUCATION_2021,MISCELLANEOUS_2021,DURABLE_2021,OCCASION_2021,OTHER_EXPENDITURE_2021,FOOD_ACCOM_SRVC_2021,FOOD_2018,NFOOD_2018,TOTEX_2018,BREAD_2018,MEAT_2018,FISH_2018,MILK_2018,OIL_2018,FRUIT_2018,VEG_2018,SUGAR_2018,FOOD_NEC_2018,COFFEE_2018,MINERAL_2018,FOOD_OUTSIDE_2018,ALCOHOL_2018,TOBACCO_2018,OTHER_VEG_2018,CLOTH_2018,FURNISHING_2018,HEALTH_2018,HOUSING_WATER_2018,TRANSPORT_2018,COMMUNICATION_2018,RECREATION_2018,EDUCATION_2018,MISCELLANEOUS_2018,DURABLE_2018,OCCASION_2018,OTHER_EXPENDITURE_2018,FOOD_ACCOM_SRVC_2018
600000000,Region VI - Western Visayas,600400000,Aklan,132180660,184580778,316743836,35476735,22464555,23675786,9863879,2014918,5835517,10844232,3053603,5988646,3306588,3991674,5664527,1579512,2776739,4312,4776559,8020178,15603632,68391966,17413896,8959578,1687301,5208699,24476922,9030464,9015677,7121973,513370,133047934,191752893,324800824,38511838,18239554,20637414,9595164,1863692,4473569,8943756,3154341,3432083,3932099,3258134,17006290,2492732,3885724,7560,9651430,8319648,13463093,59162310,18516396,5241300,3439764,7134321,21197514,15099672,14944618,7590084,1606727
600000000,Region VI - Western Visayas,600600000,Antique,118696602,151798956,270451755,37024090,15646757,20904915,7919728,1994724,7001498,9778707,2892290,5592797,2758860,3356654,3825582,2608398,2990593,11553,6213661,5494253,14291184,52536834,14734572,9341340,1185620,3178003,25539942,6768888,4333016,2421249,149850,112393331,113380090,225773419,36835812,13006801,18799585,7620049,1549362,4822544,9166057,2734993,2766390,3350422,2346622,9394694,1514119,1639183,9730,7426198,5876295,10261475,30338916,11907624,3538026,2884293,5184113,16822656,6972830,6303411,1833727,867494
600000000,Region VI - Western Visayas,601900000,Capiz,152221359,170486539,322604306,39954960,23856342,29273222,9298152,2592101,7723725,11942794,4010997,5766858,3777152,6136594,7888462,3546246,3417424,835,5804729,6412114,10729194,62986302,16991412,8532882,1013993,2753469,28458720,5585805,8983106,5039358,230950,134971535,156980675,291952210,37443728,16300028,19791018,8255885,2110632,5340456,8924712,3233962,3755440,4830236,4419695,20565743,2861813,2570045,1665,8520341,7330268,7728381,46539294,17387652,3936618,1413210,4122255,21105456,9216079,18592493,5094855,560250
600000000,Region VI - Western Visayas,603000000,Iloilo,279400850,462325657,741649521,79997463,40844347,39884253,19620961,4398388,13419005,17333525,5396304,10412411,7877154,13916347,26300692,5300503,7909283,2127,12420400,19027978,30301530,191574390,40525824,25135740,3778683,15441684,66090744,17589344,13746126,13157167,324134,276927195,438777513,715704692,80935950,36436782,38192538,21757528,4166423,9423682,16506442,5287876,4957558,10457537,10087601,38717278,5711924,7485625,15490,22207879,18755806,25041780,154148538,47802906,15970596,4879714,23679395,47312298,21973661,29660169,13728756,402976
600000000,Region VI - Western Visayas,604500000,Negros Occidental,295924595,367172642,662985901,81737726,39173454,43890448,19783820,4356304,14383602,20317405,6139273,9935829,8642520,13903468,33660746,4805001,5815127,13382,12346930,15659453,17619871,153910254,35812980,21871698,3705661,11931899,48658242,11269975,15175044,8449275,127850,255930654,362337819,618268472,74937149,27738475,31271372,17878093,3820557,9146292,15671628,5467730,5459463,8809851,9080910,46649134,4853448,6690164,15584,19427436,17506444,19807651,121191654,41678886,14482830,4689326,18441631,38618340,17558806,19652118,17241181,482320
600000000,Region VI - Western Visayas,607900000,Guimaras,68863405,84396758,153241864,20168222,8734418,14332291,4292989,1069057,3868471,4958537,1180797,2510692,1512856,2868697,3366378,1449429,1174830,0,3536788,2880694,14104800,25642374,9016050,3195810,378938,1280825,13100730,1847775,3846559,2880526,60630,70096823,72674178,142771001,22688082,7759841,13204608,4959914,981257,2660691,4241734,1262181,1147345,2409740,2233518,6547912,2234969,2253317,3414,4720449,3409614,4006941,21569964,7772148,1837026,1009281,3590689,8491062,3128674,6399070,2132368,115192
700000000,Region VII - Central Visayas,701200000,Bohol,109896300,147263903,257123612,38570535,14679762,17562706,8141546,2042039,5622599,7483652,1872407,4289592,2949448,4311598,2370416,1210424,2296249,3705,4058531,5659443,7694354,59594892,16658052,7076640,1036026,4928800,18874782,6583834,7566266,3940205,81700,103527608,166522516,270050121,36046314,11825512,15205674,7399890,1629030,3618952,6378721,1979997,2365190,3127401,3203659,10747268,969505,1254824,5010,7000672,7391272,8608833,57415842,16824378,4347156,2934996,8459900,14475330,19450751,13100920,3399867,883260
700000000,Region VII - Central Visayas,702200000,Cebu,544004549,780691418,1324479091,144507947,99479985,74704625,39104036,8668690,25501494,32027333,7856652,17744050,13657157,25133282,55619298,7500052,11451853,16456,15123341,20514602,35697318,391692198,77019624,46171602,4479551,23356375,90900210,19147495,22680019,14396082,544640,482332573,632752098,1115084668,122912966,62510643,54298983,35278950,5773984,14799908,19929339,6925856,6795143,14457573,16777299,121871929,6082286,8281597,34367,23217419,25198907,31147295,266028504,72060186,25119816,7780800,30364499,67870494,27730307,27940947,13498689,395985
700000000,Region VII - Central Visayas,704600000,Negros Oriental,95425849,130051722,225469715,35496138,11818035,16040203,6987755,1641974,4041059,5995451,1842741,3450987,2332893,2626782,3151831,1070913,1515431,52607,3397769,4264296,10540316,52310826,13875288,7311684,708847,1962588,16432542,9113084,5503183,1986667,5681,85199776,130894707,216094482,28676288,8762339,12782941,6813438,1450982,2732020,5859136,2036024,1773468,2315750,1932522,10064868,1249503,1379993,128881,6591731,6044855,6278252,52489956,13089798,3963672,1422496,6343030,12728484,9181520,7506789,2228302,267445
700000000,Region VII - Central Visayas,706100000,Siquijor,66543565,87516507,154028727,22557795,8785429,11682427,5295786,1001813,3990551,5934162,1087253,2092427,1477484,1569796,1068642,762728,792852,2300,4090431,3522587,7134121,29831724,9061194,3503616,1018881,1218880,12581772,3221576,8337033,2333212,103600,51806284,84777655,136583939,16799918,5037667,8229944,3755362,765214,2470738,4125322,1233298,1153064,1863353,1301157,5071247,984707,1075224,2000,6470718,3792045,3936637,26974932,7669728,1666782,1198080,2640440,9098586,7942638,8906578,2178144,240416
800000000,Region VIII - Eastern Visayas,802600000,Eastern Samar,111203625,131515367,242663986,35621491,16731650,16539690,8162010,2028196,5099458,7370763,1917722,5462861,3948720,4406996,3914068,1311667,1556103,298241,4593195,5431099,6206139,49601190,10884942,7666530,774364,1035653,19418850,7976472,11237900,3504322,18700,103818528,119431883,223250411,38959084,11238624,15833671,6143916,1761168,3469469,7043611,2340688,2625309,4250298,2994624,7158066,1359760,1534340,620282,6552818,5615226,5478301,38910096,11088804,2400816,2701829,4985116,14249886,6498628,12360513,4343051,732417
800000000,Region VIII - Eastern Visayas,803700000,Leyte,307061874,415746741,722648477,85018723,51952952,50950564,21341373,4759043,14910309,21287242,4958662,11987972,9324843,10955528,19614663,5748283,5714584,20462,11303803,13951320,27233285,174827532,41892438,22289076,2895283,9025521,57363390,16866502,15516873,10985217,113172,240103204,347835186,587938379,75279327,33938303,33306375,18046560,3564001,7900027,13361167,3927790,4983919,9258927,7212633,29324175,3774979,4958052,69596,14557993,16038276,16807980,117755442,37265532,11259516,5443552,16633375,40830894,27926547,21274944,12442744,795764
800000000,Region VIII - Eastern Visayas,804800000,Northern Samar,128413816,131689753,260068067,42867841,18167953,18438224,7763621,1854474,5625626,9945892,2342548,5919104,5023530,5026654,5438349,1934269,2266665,58788,4630996,5063983,4765544,55790604,11079168,5953050,527071,1631527,21394152,4174798,7742793,4604945,71400,114402773,126433301,240836074,43534512,13935445,14240005,7100998,1829295,3864705,7270927,2397110,2743685,6289909,3074473,8121709,1835429,1942523,261997,6359089,5651946,4039552,44683656,10001934,2547330,2498697,4780373,17621664,6223883,13435334,4175688,374206
800000000,Region VIII - Eastern Visayas,806000000,Samar (Western),133962565,131948656,265776499,46672676,18164816,20760329,8173608,2347952,5463746,9051237,2398063,6407347,6118688,5127131,3276972,2359627,4012998,6625,5722702,5469908,6352630,49030692,12385122,7735386,1010014,2566666,19838880,5056797,6397841,3960268,42500,111082313,110277882,221360194,42385433,11007346,15447331,6451572,1925841,3817782,7442041,2374665,3184111,4978954,3219105,8848132,2163420,2308713,20675,6729708,5314632,4358322,35067942,9390516,2502522,2378608,3853697,15631950,6892379,9806962,3490026,367810
800000000,Region VIII - Eastern Visayas,806400000,Southern Leyte,144412343,164240655,308612052,44361413,24424486,22331045,10755994,2291818,6521243,9468722,2299501,4935535,4322166,5025222,7675198,1663286,2376596,9902,4803411,6260315,10506477,57563310,16184040,8792256,592677,3143379,21546096,9623427,9298209,11756094,121180,124362832,143498450,267861278,42628978,16421891,16360299,9654129,1916225,3878054,6121408,2249358,2116812,4566935,3332263,15116480,1315724,1873887,1602,7502793,7212464,10076018,43520664,13454304,4029774,3182852,5834806,17449800,10255883,13280164,3742687,765028
800000000,Region VIII - Eastern Visayas,807800000,Biliran,136666245,176960187,313539833,46385468,17720074,24344510,9580087,2141905,6066701,8394845,2983333,5595817,4703855,3372281,5377369,1776636,4236760,900,7208460,8936990,12643136,59621664,16701654,9260154,1725122,1848665,24982068,11123796,9964784,6883448,45950,130820797,171207413,302028206,45763853,13878050,22520940,9251965,1965304,4336408,7156312,2901040,2964761,5235098,3023829,11823237,1910201,3546496,3540,9462382,8984192,9106811,44245116,16374570,4063020,4527369,4411779,19728546,19485419,14704044,9463279,1190649
900000000,Region IX - Zamboanga Peninsula,907200000,Zamboanga del Norte,101259463,117917815,219121041,35148910,13924672,17253362,6984732,1721160,4657183,7404635,1837247,3686892,2748330,3683059,2209281,1394634,1910180,7230,4841374,4223499,7585838,40294452,13828710,6020118,986949,1864553,17675100,7088278,6974886,3139414,82600,90263103,97545681,187808780,33094759,10020844,15186624,6062914,1312253,3172541,6071747,1789149,2083718,2844037,2173208,6451309,1318848,2228219,14625,6443519,3680084,4546425,30327834,10702698,2258358,1398573,4229248,11963232,8754374,6495052,2917372,267220
900000000,Region IX - Zamboanga Peninsula,907300000,Zamboanga del Sur,281752670,285237523,566939154,86782043,36869070,53437226,19606631,4932721,14280881,21723772,5967326,11087526,8891818,9695395,8478261,2710407,5105783,29922,9856569,10291162,13360433,110523120,30903576,16711290,2153506,6590231,40398330,14384344,14596955,7597895,24000,231787589,221947041,453734628,79228111,22611951,39892007,15404002,3487913,6380414,15336277,4948317,5453183,9118325,5864869,24062220,2075353,5648337,24598,12664123,8752683,11262057,77692824,22627878,7228752,2475064,9245806,28554450,12417286,13230340,7744930,302560
900000000,Region IX - Zamboanga Peninsula,908300000,Zamboanga Sibugay,103143975,127257868,230291828,38853236,11569051,17011292,6961879,1758623,4535341,6692246,2477914,3867024,2914483,3881647,2621239,971822,2889391,50727,5499911,5357939,5995129,39378012,13676238,5948232,1244635,2944380,20485296,9025415,9426924,4295717,68100,94615255,96424694,191039947,36222018,8297483,14725977,6260139,1389288,3079641,5767851,2320932,2134054,3270411,2619801,8527660,849254,2474632,6055,7285121,4720426,4846544,25241094,9428316,2405220,2081772,4621229,13995030,9259062,6652817,2342397,215725
900000000,Region IX - Zamboanga Peninsula,990100000,Isabela City,49861837,47476338,97309994,18063552,4276173,8852509,3241537,1525238,2124090,3694057,1434259,2381851,1500702,2150217,617652,141947,837022,27055,1613307,1429889,2437525,20334636,5999868,2672934,150963,486942,7338270,2007335,1291155,707490,0,44069331,52941898,97011227,15609201,3163567,6077155,2734484,817755,1596990,3107055,1541689,1430213,1919319,1288751,4783152,201241,1916781,34238,2643384,1489496,1481337,15095778,6045330,2072064,518547,1957140,9027006,4815603,4390904,1158844,94205
